t              x              y
    0               1              0
0.001               1 0.006283185307
0.002    0.9999605216  0.01256637061
0.003    0.9998815671  0.01884930789
0.004    0.9997631404  0.02513174912
0.005     0.999605247  0.03141344634
0.006    0.9994078939  0.03769415163
0.007    0.9991710896  0.04397361714
0.008    0.9988948443  0.05025159507
0.009    0.9985791697  0.05652783772
 0.01    0.9982240789  0.06280209745
0.011    0.9978295869  0.06907412674
0.012    0.9973957099  0.07534367817
0.013    0.9969224659  0.08161050444
0.014    0.9964098743  0.08787435839
0.015    0.9958579562  0.09413499296
0.016    0.9952667341   0.1003921613
0.017    0.9946362321   0.1066456166
0.018    0.9939664759   0.1128951124
0.019    0.9932574927   0.1191404022
 0.02    0.9925093114   0.1253812399
0.021    0.9917219622   0.1316173794
0.022    0.9908954769    0.137848575
0.023    0.9900298891    0.144074581
0.024    0.9891252337   0.1502951522
0.025    0.9881815471   0.1565100433
0.026    0.9871988674   0.1627190095
0.027    0.9861772342   0.1689218062
0.028    0.9851166886    0.175118189
0.029    0.9840172733   0.1813079138
 0.03    0.9828790325   0.1874907368
0.031    0.9817020119   0.1936664145
0.032    0.9804862587   0.1998347038
0.033    0.9792318218   0.2059953617
0.034    0.9779387515   0.2121481456
0.035    0.9766070996   0.2182928133
0.036    0.9752369194    0.224429123
0.037     0.973828266   0.2305568331
0.038    0.9723811956   0.2366757023
0.039    0.9708957663   0.2427854899
 0.04    0.9693720374   0.2488859555
0.041      0.96781007   0.2549768591
0.042    0.9662099264   0.2610579609
0.043    0.9645716707   0.2671290218
0.044    0.9628953684    0.273189803
0.045    0.9611810865   0.2792400661
0.046    0.9594288933   0.2852795731
0.047     0.957638859   0.2913080866
0.048     0.955811055   0.2973253695
0.049    0.9539455542   0.3033311854
 0.05    0.9520424311    0.309325298
0.051    0.9501017618   0.3153074717
0.052    0.9481236235   0.3212774716
0.053    0.9461080952    0.327235063
0.054    0.9440552574   0.3331800118
0.055    0.9419651917   0.3391120844
0.056    0.9398379817   0.3450310479
0.057    0.9376737121   0.3509366697
0.058     0.935472469    0.356828718
0.059    0.9332343404   0.3627069613
 0.06    0.9309594153   0.3685711689
0.061    0.9286477843   0.3744211106
0.062    0.9262995396   0.3802565567
0.063    0.9239147746   0.3860772782
0.064    0.9214935844   0.3918830468
0.065    0.9190360653   0.3976736345
0.066    0.9165423152   0.4034488143
0.067    0.9140124332   0.4092083596
0.068    0.9114465203   0.4149520446
0.069    0.9088446783   0.4206796439
 0.07    0.9062070109   0.4263909331
0.071     0.903533623   0.4320856883
0.072     0.900824621   0.4377636862
0.073    0.8980801126   0.4434247043
0.074    0.8953002069   0.4490685208
0.075    0.8924850146   0.4546949146
0.076    0.8896346475   0.4603036652
0.077     0.886749219   0.4658945532
0.078    0.8838288438   0.4714673594
0.079     0.880873638   0.4770218658
 0.08     0.877883719   0.4825578549
0.081    0.8748592057     0.48807511
0.082    0.8718002183   0.4935734153
0.083    0.8687068782   0.4990525556
0.084    0.8655793085   0.5045123166
0.085    0.8624176333   0.5099524848
0.086    0.8592219783   0.5153728475
0.087    0.8559924703   0.5207731927
0.088    0.8527292376   0.5261533094
0.089    0.8494324098   0.5315129874
 0.09    0.8461021179   0.5368520172
0.091    0.8427384939   0.5421701902
0.092    0.8393416715   0.5474672988
0.093    0.8359117855   0.5527431362
0.094     0.832448972   0.5579974964
0.095    0.8289533684   0.5632301743
0.096    0.8254251135   0.5684409657
0.097    0.8218643473   0.5736296673
0.098     0.818271211   0.5787960768
0.099    0.8146458471   0.5839399928
  0.1    0.8109883995   0.5890612146
0.101    0.8072990132   0.5941595427
0.102    0.8035778345   0.5992347784
0.103    0.7998250111   0.6042867241
0.104    0.7960406916   0.6093151829
0.105    0.7922250262   0.6143199591
0.106     0.788378166   0.6193008578
0.107    0.7845002636   0.6242576853
0.108    0.7805914727   0.6291902486
0.109    0.7766519481    0.634098356
 0.11    0.7726818459   0.6389818166
0.111    0.7686813235   0.6438404405
0.112    0.7646505394   0.6486740389
0.113    0.7605896532   0.6534824242
0.114    0.7564988256   0.6582654094
0.115    0.7523782189   0.6630228089
0.116     0.748227996   0.6677544381
0.117    0.7440483214   0.6724601133
0.118    0.7398393605    0.677139652
0.119      0.73560128   0.6817928728
 0.12    0.7313342475   0.6864195953
0.121    0.7270384319   0.6910196401
0.122    0.7227140032   0.6955928291
0.123    0.7183611325   0.7001389852
0.124    0.7139799921   0.7046579324
0.125    0.7095707552   0.7091494958
0.126    0.7051335962   0.7136135017
0.127    0.7006686906   0.7180497774
0.128    0.6961762149   0.7224581515
0.129    0.6916563467   0.7268384537
 0.13    0.6871092648   0.7311905146
0.131    0.6825351488   0.7355141664
0.132    0.6779341795   0.7398092422
0.133    0.6733065387   0.7440755762
0.134    0.6686524093    0.748313004
0.135    0.6639719751   0.7525213621
0.136     0.659265421   0.7567004885
0.137    0.6545329329   0.7608502223
0.138    0.6497746976   0.7649704036
0.139     0.644990903    0.769060874
 0.14     0.640181738   0.7731214761
0.141    0.6353473923   0.7771520539
0.142    0.6304880568   0.7811524524
0.143    0.6256039232   0.7851225181
