t              x              y
    0               1              0
0.001    0.9999802608 0.006283185307
0.002    0.9999210439  0.01256612256
0.003    0.9998223518  0.01884856373
0.004    0.9996841882  0.02513026079
0.005    0.9995065587  0.03141096574
0.006    0.9992894703  0.03769043063
0.007    0.9990329315  0.04396840757
0.008    0.9987369525  0.05024464871
0.009    0.9984015449  0.05651890626
 0.01     0.998026722  0.06279093254
0.011    0.9976124985  0.06906047993
0.012     0.997158891  0.07532730093
0.013    0.9966659171  0.08159114812
0.014    0.9961335965  0.08785177422
0.015    0.9955619501  0.09410893208
0.016    0.9949510005   0.1003623747
0.017    0.9943007718   0.1066118551
0.018    0.9936112897   0.1128571267
0.019    0.9928825814   0.1190979428
 0.02    0.9921146757   0.1253340572
0.021    0.9913076029   0.1315652235
0.022    0.9904613948   0.1377911959
0.023    0.9895760849   0.1440117285
0.024    0.9886517081   0.1502265758
0.025    0.9876883009   0.1564354923
0.026    0.9866859013    0.162638233
0.027     0.985644549    0.168834553
0.028     0.984564285   0.1750242077
0.029    0.9834451519   0.1812069528
 0.03    0.9822871941    0.187382544
0.031    0.9810904571   0.1935507377
0.032    0.9798549882   0.1997112904
0.033    0.9785808362   0.2058639587
0.034    0.9772680515   0.2120084999
0.035    0.9759166857   0.2181446713
0.036    0.9745267924   0.2242722307
0.037    0.9730984262   0.2303909362
0.038    0.9716316438   0.2365005463
0.039    0.9701265029   0.2426008196
 0.04    0.9685830629   0.2486915155
0.041    0.9670013849   0.2547723935
0.042    0.9653815312   0.2608432135
0.043    0.9637235658   0.2669037358
0.044    0.9620275542   0.2729537211
0.045    0.9602935633   0.2789929307
0.046    0.9585216616   0.2850211261
0.047     0.956711919   0.2910380694
0.048    0.9548644069   0.2970435229
0.049    0.9529791984   0.3030372496
 0.05    0.9510563678    0.309019013
0.051    0.9490959911   0.3149885767
0.052    0.9470981456   0.3209457053
0.053    0.9450629103   0.3268901634
0.054    0.9429903654   0.3328217164
0.055    0.9408805928   0.3387401302
0.056    0.9387336758   0.3446451711
0.057    0.9365496992   0.3505366059
0.058    0.9343287491   0.3564142022
0.059    0.9320709132   0.3622777278
 0.06    0.9297762808   0.3681269513
0.061    0.9274449423   0.3739616417
0.062    0.9250769899   0.3797815688
0.063    0.9226725169   0.3855865027
0.064    0.9202316184   0.3913762143
0.065    0.9177543907    0.397150475
0.066    0.9152409316   0.4029090569
0.067    0.9126913403   0.4086517327
0.068    0.9101057174   0.4143782755
0.069    0.9074841652   0.4200884594
 0.07     0.904826787   0.4257820589
0.071    0.9021336877   0.4314588493
0.072    0.8994049738   0.4371186063
0.073    0.8966407529   0.4427611067
0.074    0.8938411341   0.4483861277
0.075     0.891006228   0.4539934471
0.076    0.8881361465   0.4595828436
0.077    0.8852310029   0.4651540966
0.078    0.8822909119   0.4707069861
0.079    0.8793159896   0.4762412929
 0.08    0.8763063534   0.4817567985
